All Outfielders 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Shannon Wilkerson OF | BOS ,0,.000,0,0,0,9999
W ,Jerry Downs OF | BOS ,0,.000,0,0,0,9999
W ,Quincy Scott OF | TEX ,0,.000,0,0,0,9999
W ,Austin Wilson OF | SEA ,0,.000,0,0,0,9999
W ,James Tibbs OF | LAD ,0,.000,0,0,0,9999
W ,Jared Dupere OF | SF ,0,.000,0,0,0,9999
W ,Jake Sanford OF | NYY ,0,.000,0,0,0,9999
W ,Robert Neustrom OF | BAL ,0,.000,0,0,0,9999
W ,Anthony Alford OF | CIN ,0,.000,0,0,0,9999
W ,Roby Enriquez OF | ARI ,0,.000,0,0,0,9999
W ,Caden Rose OF | BOS ,0,.000,0,0,0,9999
W ,Ivan Brethowr OF | PIT ,0,.000,0,0,0,9999
W ,Korbyn Dickerson OF | SEA ,0,.000,0,0,0,9999
W ,Kelly Dugan OF | PHI ,0,.000,0,0,0,9999
W ,Jacen Roberson OF | ARI ,0,.000,0,0,0,9999
W ,Joe McCarthy OF | TEX ,0,.000,0,0,0,9999
W ,Shane Sasaki OF | MIA ,0,.000,0,0,0,9999
W ,Dwanya Williams-Sutton OF | SD ,0,.000,0,0,0,9999
W ,Randy De Jesus OF | LAA ,0,.000,0,0,0,9999
W ,Juan Chacon OF | BOS ,0,.000,0,0,0,9999
W ,Jairo Pomares OF | SF ,0,.000,0,0,0,9999
W ,Gavin Turley OF | ATH ,0,.000,0,0,0,9999
W ,Yorvis Torrealba OF | COL ,0,.000,0,0,0,9999
W ,Jonathan Cluff OF | WAS ,0,.000,0,0,0,9999
W ,Anthony Gutierrez OF | TEX ,0,.000,0,0,0,9999
W ,Jack Hurley OF | ARI ,0,.000,0,0,0,9999
W ,Jake DeLeo OF | MIA ,0,.000,0,0,0,9999
W ,Marcus Lee Sang OF | PHI ,0,.000,0,0,0,9999
W ,Spencer Griffin OF | LAA ,0,.000,0,0,0,9999
W ,Carlos De La Cruz OF | WAS ,0,.000,0,0,0,9999
W ,Ryan Waldschmidt OF | ARI ,0,.000,0,0,0,9999
W ,Matthew Lugo OF | LAA,0,.000,0,0,0,9999
W ,Jared Foster OF | LAA ,0,.000,0,0,0,9999
W ,Ben Aklinski OF | PHI ,0,.000,0,0,0,9999
W ,Derniche Valdez OF | CHC ,0,.000,0,0,0,9999
W ,Justin Connell OF | WAS ,0,.000,0,0,0,9999
W ,Jung Hoo Lee OF | SF,0,.000,0,0,0,9999
W ,Raimfer Salinas OF | NYY ,0,.000,0,0,0,9999
W ,Raylin Heredia OF | PHI ,0,.000,0,0,0,9999
W ,Hudson Haskin OF | BAL,0,.000,0,0,0,9999
W ,James Jones OF | LAD ,0,.000,0,0,0,9999
W ,Nelson Medina OF | NYY ,0,.000,0,0,0,9999
W ,Chavez Young OF | MIL ,0,.000,0,0,0,9999
W ,Griffin Conine OF | MIA ,0,.000,0,0,0,9999
W ,Lonnie White OF | PIT ,0,.000,0,0,0,9999
W ,Jake Thompson OF | MIA,0,.000,0,0,0,9999
W ,Josh Altmann OF | TEX ,0,.000,0,0,0,9999
W ,Jordan Nwogu OF | CHC ,0,.000,0,0,0,9999
W ,Manuel Melendez OF | COL ,0,.000,0,0,0,9999
W ,Zion Bannister OF | TEX ,0,.000,0,0,0,9999
W ,Jacob Burke OF | CHW ,0,.000,0,0,0,9999
W ,Jerrick Suiter OF | PIT ,0,.000,0,0,0,9999
W ,Hector Osorio OF | TEX ,0,.000,0,0,0,9999
W ,Jaden Rudd OF | TOR ,0,.000,0,0,0,9999
W ,Angel Moreno OF | TB ,0,.000,0,0,0,9999
W ,Victor Mesa Jr. OF | MIA,0,.000,0,0,0,9999
W ,Kai Roberts OF | SD ,0,.000,0,0,0,9999
W ,Alan Garcia OF | SD ,0,.000,0,0,0,9999
W ,Jay Gonzalez OF | ARI ,0,.000,0,0,0,9999
W ,Austin Murr OF | DET ,0,.000,0,0,0,9999
W ,Reece Hampton OF | DET ,0,.000,0,0,0,9999
W ,J.D. McLaughlin OF | DET ,0,.000,0,0,0,9999
W ,Michael Beltre OF | NYY ,0,.000,0,0,0,9999
W ,Cole Carrigg OF | COL,0,.000,0,0,0,9999
W ,Christopher De La Cruz OF | WAS ,0,.000,0,0,0,9999
W ,Jhostynxon Garcia OF | PIT ,0,.000,0,0,0,9999
W ,Felix Reyes OF | PHI ,0,.000,0,0,0,9999
W ,Mason House OF | SD ,0,.000,0,0,0,9999
W ,Mac Wainwright OF | CIN ,0,.000,0,0,0,9999
W ,Daniel Sweet OF | CIN ,0,.000,0,0,0,9999
W ,Franklin Labour OF | SF ,0,.000,0,0,0,9999
W ,Luis Guanipa OF | ATL ,0,.000,0,0,0,9999
W ,Jhalan Jackson OF | NYY ,0,.000,0,0,0,9999
W ,Jared Oliva OF | MIL ,0,.000,0,0,0,9999
W ,Bryan Torres OF | STL ,0,.000,0,0,0,9999
W ,Brandon Winokur OF | MIN ,0,.000,0,0,0,9999
W ,Yerlin Luis OF | CLE ,0,.000,0,0,0,9999
W ,Victor Labrada OF | SEA ,0,.000,0,0,0,9999
W ,Jose Pujols OF | PHI ,0,.000,0,0,0,9999
W ,Chase Calabuig OF | ATH ,0,.000,0,0,0,9999
W ,Darlin Moquete OF | STL ,0,.000,0,0,0,9999
W ,David Calabrese OF | LAA ,0,.000,0,0,0,9999
W ,Danny Lantigua OF | CIN ,0,.000,0,0,0,9999
W ,Druw Jones OF | ARI ,0,.000,0,0,0,9999
W ,Phillip Sikes OF | BOS ,0,.000,0,0,0,9999
W ,Alvin Guzman OF | ARI ,0,.000,0,0,0,9999
W ,Luis Bolivar OF | SEA,0,.000,0,0,0,9999
W ,Alfonsin Rosario OF | CLE ,0,.000,0,0,0,9999
W ,Kyle Survance OF | LAA ,0,.000,0,0,0,9999
W ,Garrett Spain OF | MIL ,0,.000,0,0,0,9999
W ,Yeison Morrobel OF | TEX ,0,.000,0,0,0,9999
W ,Daniel Johnson OF | BAL ,0,.000,0,0,0,9999
W ,Landon Wallace OF | LAA ,0,.000,0,0,0,9999
W ,Yanio Perez OF | TEX ,0,.000,0,0,0,9999
W ,Jeremy de la Rosa OF | WAS ,0,.000,0,0,0,9999
W ,Miguel Aparicio OF | TEX ,0,.000,0,0,0,9999
W ,Francisco Del Valle OF | LAA ,0,.000,0,0,0,9999
W ,Mishael Deson OF | BAL,0,.000,0,0,0,9999
W ,Trevor Hauver OF | TEX,0,.000,0,0,0,9999
W ,Fidel Montero OF | NYY,0,.000,0,0,0,9999
W ,Kevin Keyes OF | WAS ,0,.000,0,0,0,9999
W ,Jimmy Pickens OF | CIN ,0,.000,0,0,0,9999
W ,Jared Mckenzie OF | WAS ,0,.000,0,0,0,9999
W ,Brayan Hernandez OF | MIA ,0,.000,0,0,0,9999
W ,Francisco Vilorio OF | NYY ,0,.000,0,0,0,9999
W ,Patrick Lee OF | DET ,0,.000,0,0,0,9999
W ,Justin Boyd OF | CLE ,0,.000,0,0,0,9999
W ,Anthony Jimenez OF | SEA ,0,.000,0,0,0,9999
W ,Chad Oberacker OF | ARI ,0,.000,0,0,0,9999
W ,Tanner Allen OF | MIA ,0,.000,0,0,0,9999
W ,Austin Martin OF | MIN,0,.000,0,0,0,9999
W ,Luis Medina OF | MIL ,0,.000,0,0,0,9999
W ,Sean Godfrey OF | ATL ,0,.000,0,0,0,9999
W ,Kyle Johnson OF | NYM ,0,.000,0,0,0,9999
W ,Felix Perez OF | CIN ,0,.000,0,0,0,9999
W ,Jesus Alastre OF | PHI ,0,.000,0,0,0,9999
W ,Lazaro Armenteros OF | ATH ,0,.000,0,0,0,9999
W ,Stryker Trahan OF | ARI ,0,.000,0,0,0,9999
W ,Casey Saucke OF | CHW ,0,.000,0,0,0,9999
W ,Johnathan Rodriguez OF | CLE,0,.000,0,0,0,9999
W ,Ian Dawkins OF | CHW ,0,.000,0,0,0,9999
W ,Diego Rincones OF | DET ,0,.000,0,0,0,9999
W ,Luis Gonzalez OF | BAL,0,.000,0,0,0,9999
W ,Adriel Radney OF | ARI ,0,.000,0,0,0,9999
W ,Robert Arias OF | CLE ,0,.000,0,0,0,9999
W ,Justin Dirden OF | HOU ,0,.000,0,0,0,9999
W ,Jakob Christian OF | SF ,0,.000,0,0,0,9999
W ,Pedro Leon OF | PHI ,0,.000,0,0,0,9999
W ,Raudi Rodriguez OF | LAA ,0,.000,0,0,0,9999
W ,Ezequiel Pagan OF | LAD ,0,.000,0,0,0,9999
W ,Slater de Brun OF | BAL ,0,.000,0,0,0,9999
W ,Yerlin Confidan OF | CIN ,0,.000,0,0,0,9999
W ,Will Robertson OF | BAL ,0,.000,0,0,0,9999
W ,Carson Benge OF | NYM ,0,.000,0,0,0,9999
W ,Jackson Strong OF | DET ,0,.000,0,0,0,9999
W ,Omar Carrizales OF | COL ,0,.000,0,0,0,9999
W ,Luis Pino OF | STL ,0,.000,0,0,0,9999
W ,Alec Sayre OF | MIN ,0,.000,0,0,0,9999
W ,Darryl Collins OF | KC,0,.000,0,0,0,9999
W ,Tai Peete OF | SEA ,0,.000,0,0,0,9999
W ,Eduardo Lopez OF | PHI ,0,.000,0,0,0,9999
W ,Jack Herman OF | PIT ,0,.000,0,0,0,9999
W ,Adam Law OF | SEA ,0,.000,0,0,0,9999
W ,Ryan Picollo OF | SEA ,0,.000,0,0,0,9999
W ,Aldemar Burgos OF | SD ,0,.000,0,0,0,9999
W ,Ching-Hsien Ko OF | LAD ,0,.000,0,0,0,9999
W ,Ryde Rodriguez OF | LAA ,0,.000,0,0,0,9999
W ,Kevin Hankerd OF | ARI ,0,.000,0,0,0,9999
W ,Luis Silverio OF | ARI ,0,.000,0,0,0,9999
W ,Bryant Packard OF | DET ,0,.000,0,0,0,9999
W ,Colton Ledbetter OF | TB ,0,.000,0,0,0,9999
W ,Michael De La Cruz OF | PIT ,0,.000,0,0,0,9999
W ,Michael O'Neill OF | MIN ,0,.000,0,0,0,9999
W ,Dru Baker OF | TB ,0,.000,0,0,0,9999
W ,Jhonkensy Noel OF | CLE ,0,.000,0,0,0,9999
W ,Devin Saltiban OF | PHI ,0,.000,0,0,0,9999
W ,Willy Fanas OF | NYM ,0,.000,0,0,0,9999
W ,Brendan Jones OF | NYY ,0,.000,0,0,0,9999
W ,Luis Mieses OF | TEX ,0,.000,0,0,0,9999
W ,Collin Radack OF | STL ,0,.000,0,0,0,9999
W ,Nick Schnell OF | WAS ,0,.000,0,0,0,9999
W ,Gabriel Martinez OF | TOR ,0,.000,0,0,0,9999
W ,Jace Grady OF | ATL ,0,.000,0,0,0,9999
W ,Zach Ashford OF | NYM ,0,.000,0,0,0,9999
W ,Victor Hurtado OF | WAS ,0,.000,0,0,0,9999
W ,Kevin Alcantara OF | CHC ,0,.000,0,0,0,9999
W ,Austin Overn OF | BAL ,0,.000,0,0,0,9999
W ,Dylan Harris OF | BAL ,0,.000,0,0,0,9999
W ,Chris Roller OF | MIL ,0,.000,0,0,0,9999
W ,Logan Cerny OF | HOU ,0,.000,0,0,0,9999
W ,A.J. Ewing OF | NYM ,0,.000,0,0,0,9999
W ,Gilberto Jimenez OF | BOS,0,.000,0,0,0,9999
W ,Ronny Dominguez OF | CLE ,0,.000,0,0,0,9999
W ,Jhon Torres OF | STL ,0,.000,0,0,0,9999
W ,Louis Silverio OF | CHW ,0,.000,0,0,0,9999
W ,Miguel Bleis OF | BOS ,0,.000,0,0,0,9999
W ,Denzel Clarke OF | ATH ,0,.000,0,0,0,9999
W ,Natanael Yuten OF | BOS ,0,.000,0,0,0,9999
W ,Terence Doston OF | MIL ,0,.000,0,0,0,9999
W ,Juan Silva OF | NYY ,0,.000,0,0,0,9999
W ,Walking Cabrera OF | SEA ,0,.000,0,0,0,9999
W ,Maikis De La Cruz OF | NYM ,0,.000,0,0,0,9999
W ,Wagner Lagrange OF | NYM ,0,.000,0,0,0,9999
W ,Braiden Ward OF | COL ,0,.000,0,0,0,9999
W ,Brandon Bayardi OF | LAA ,0,.000,0,0,0,9999
W ,Parker Chavers OF | CHC ,0,.000,0,0,0,9999
W ,Ronis Aybar OF | NYM ,0,.000,0,0,0,9999
W ,Bralin Jackson OF | PIT ,0,.000,0,0,0,9999
W ,Jorge Burgos OF | CLE ,0,.000,0,0,0,9999
W ,Alberto Rodriguez OF | SEA ,0,.000,0,0,0,9999
W ,Wenceel Perez OF | DET,0,.000,0,0,0,9999
W ,Mike Antico OF | STL ,0,.000,0,0,0,9999
W ,Hirotoshi Onaka OF | TEX ,0,.000,0,0,0,9999
W ,Antoine Duplantis OF | NYM ,0,.000,0,0,0,9999
W ,Clark Eagan OF | PIT ,0,.000,0,0,0,9999
W ,Anthony Giansanti OF | CHC ,0,.000,0,0,0,9999
W ,Nathan Church OF | STL,0,.000,0,0,0,9999
W ,Daniel Marte OF | WAS ,0,.000,0,0,0,9999
W ,Jay Allen OF | CIN ,0,.000,0,0,0,9999
W ,Matt Fraizer OF | PIT ,0,.000,0,0,0,9999
W ,Will Taylor OF | PIT ,0,.000,0,0,0,9999
W ,Nomar Mazara OF | WAS,0,.000,0,0,0,9999
W ,Yophery Rodriguez OF | BOS ,0,.000,0,0,0,9999
W ,Juan Guerrero OF | COL ,0,.000,0,0,0,9999
W ,Kyle Henley OF | CIN ,0,.000,0,0,0,9999
W ,Braylin Tavera OF | BAL ,0,.000,0,0,0,9999
W ,Luis Payano OF | HOU ,0,.000,0,0,0,9999
W ,Pablo Olivares OF | NYY ,0,.000,0,0,0,9999
W ,D'Shawn Knowles OF | LAA ,0,.000,0,0,0,9999
W ,Colby Shade OF | MIA ,0,.000,0,0,0,9999
W ,Evan Marzilli OF | CHC ,0,.000,0,0,0,9999
W ,Eric Filia OF | SEA ,0,.000,0,0,0,9999
W ,Robbie Garvey OF | LAD ,0,.000,0,0,0,9999
W ,Stefan Sabol OF | NYM ,0,.000,0,0,0,9999
W ,Justice Thompson OF | CIN ,0,.000,0,0,0,9999
W ,Angel Del Rosario OF | MIN ,0,.000,0,0,0,9999
W ,Zach Sullivan OF | MIA ,0,.000,0,0,0,9999
W ,Sean Gamble OF | KC ,0,.000,0,0,0,9999
W ,Colby Thomas OF | ATH,0,.000,0,0,0,9999
W ,Shalin Polanco OF | PIT ,0,.000,0,0,0,9999
W ,Trever Allen OF | LAA ,0,.000,0,0,0,9999
W ,Ruben Cardenas OF | TB,0,.000,0,0,0,9999
W ,Dom Thompson-Williams OF | SEA ,0,.000,0,0,0,9999
W ,Jean Ramirez OF | KC ,0,.000,0,0,0,9999
W ,Christian Johnson OF | TB ,0,.000,0,0,0,9999
W ,Todd Isaacs OF | CLE ,0,.000,0,0,0,9999
W ,Mike Fish OF | LAA ,0,.000,0,0,0,9999
W ,Pat DeMarco OF | NYY ,0,.000,0,0,0,9999
W ,Quincy Hamilton OF | HOU ,0,.000,0,0,0,9999
W ,Dustin Harris OF | TEX ,0,.000,0,0,0,9999
W ,Mel Rojas OF | ATL ,0,.000,0,0,0,9999
W ,Zach Jarrett OF | BAL ,0,.000,0,0,0,9999
W ,Je'Von Ward OF | TOR ,0,.000,0,0,0,9999
W ,Tyler Dearden OF | MIN ,0,.000,0,0,0,9999
W ,Alexander Ovalles OF | CIN,0,.000,0,0,0,9999
W ,Argenis Jimenez OF | MIN ,0,.000,0,0,0,9999
W ,Cam Smith OF | HOU ,0,.000,0,0,0,9999
W ,Brett Johnson OF | ARI ,0,.000,0,0,0,9999
W ,Zach Borenstein OF | NYM ,0,.000,0,0,0,9999
W ,Luis Baez OF | MIN ,0,.000,0,0,0,9999
W ,Zack Zehner OF | NYY ,0,.000,0,0,0,9999
W ,Emanuel Andrews OF | COL ,0,.000,0,0,0,9999
W ,Edwin Moreno OF | SD ,0,.000,0,0,0,9999
W ,Marty Costes OF | MIA ,0,.000,0,0,0,9999
W ,Eddy Rodriguez OF | PIT ,0,.000,0,0,0,9999
W ,Alexander Ramirez OF | NYM ,0,.000,0,0,0,9999
W ,Ronnie Jebavy OF | SF ,0,.000,0,0,0,9999
W ,Gabriel Rincones OF | PHI ,0,.000,0,0,0,9999
W ,Anthony Scull OF | LAA ,0,.000,0,0,0,9999
W ,Trey Harris OF | WAS ,0,.000,0,0,0,9999
W ,Osiris Johnson OF | MIA ,0,.000,0,0,0,9999
W ,Jameson Fisher OF | CHW ,0,.000,0,0,0,9999
W ,Wilfredo Flores OF | PHI ,0,.000,0,0,0,9999
W ,Roman Collins OF | KC ,0,.000,0,0,0,9999
W ,Luis Castillo OF | MIL,0,.000,0,0,0,9999
W ,Kai Murphy OF | SD ,0,.000,0,0,0,9999
W ,Shawon Dunston OF | CHC ,0,.000,0,0,0,9999
W ,Luis Gonzalez OF | NYY ,0,.000,0,0,0,9999
W ,Robert Henry OF | MIL ,0,.000,0,0,0,9999
W ,Estuar Suero OF | PIT ,0,.000,0,0,0,9999
W ,Roismar Quintana OF | WAS ,0,.000,0,0,0,9999
W ,Randy Bednar OF | SEA ,0,.000,0,0,0,9999
W ,Orlando Martinez OF | LAA ,0,.000,0,0,0,9999
W ,Ryan Nagle OF | PIT ,0,.000,0,0,0,9999
W ,Werner Blakely OF | LAA ,0,.000,0,0,0,9999
W ,Natanael Delgado OF | BAL ,0,.000,0,0,0,9999
W ,Matt Pita OF | NYY ,0,.000,0,0,0,9999
W ,Diego Cedeno OF | TEX ,0,.000,0,0,0,9999
W ,C.J. McElroy OF | STL ,0,.000,0,0,0,9999
W ,Diego Mosquera OF | NYM ,0,.000,0,0,0,9999
W ,Alejandro Osuna OF | TEX,0,.000,0,0,0,9999
W ,Drew Gilbert OF | SF,0,.000,0,0,0,9999
W ,Michael Medina OF | LAD ,0,.000,0,0,0,9999
W ,Rikuu Nishida OF | CHW ,0,.000,0,0,0,9999
W ,Levi Jordan OF | CIN ,0,.000,0,0,0,9999
W ,Greg Jones OF | HOU ,0,.000,0,0,0,9999
W ,Grant Witherspoon OF | TB ,0,.000,0,0,0,9999
W ,Connor Scott OF | KC ,0,.000,0,0,0,9999
W ,Fenwick Trimble OF | MIA,0,.000,0,0,0,9999
W ,Jeffrey Baez OF | ARI ,0,.000,0,0,0,9999
W ,Renny Hidalgo OF | MIA,0,.000,0,0,0,9999
W ,Zach Daniels OF | HOU ,0,.000,0,0,0,9999
W ,Edgar Basabe OF | TEX ,0,.000,0,0,0,9999
W ,Luis Lara OF | MIL ,0,.000,0,0,0,9999
W ,Norberto Obeso OF | TOR ,0,.000,0,0,0,9999
W ,Yadir Drake OF | LAD ,0,.000,0,0,0,9999
W ,Adrian Hernandez OF | NYM ,0,.000,0,0,0,9999
W ,Hunter Markwardt OF | PHI ,0,.000,0,0,0,9999
W ,Dylan Rosa OF | DET ,0,.000,0,0,0,9999
W ,Cole Anderson OF | COL ,0,.000,0,0,0,9999
W ,David Olmedo-Barrera OF | TB ,0,.000,0,0,0,9999
W ,Tanner Kirwer OF | SEA ,0,.000,0,0,0,9999
W ,Rudy Martin OF | KC ,0,.000,0,0,0,9999
W ,Todd Lott OF | STL ,0,.000,0,0,0,9999
W ,Leon Landry OF | CIN ,0,.000,0,0,0,9999
W ,Lucas Spence OF | HOU ,0,.000,0,0,0,9999
W ,Jacob Heyward OF | SF ,0,.000,0,0,0,9999
W ,Jordan Sprinkle OF | CHW ,0,.000,0,0,0,9999
W ,Aidan Smith OF | TB ,0,.000,0,0,0,9999
W ,Sterling Romero OF | CLE ,0,.000,0,0,0,9999
W ,Carlos Lopez OF | MIA ,0,.000,0,0,0,9999
W ,Alex McKenna OF | HOU ,0,.000,0,0,0,9999
W ,Stiven Martinez OF | BAL ,0,.000,0,0,0,9999
W ,Guy Lipscomb OF | CLE ,0,.000,0,0,0,9999
W ,Ernie De La Trinidad OF | MIN ,0,.000,0,0,0,9999
W ,Rece Hinds OF | CIN,0,.000,0,0,0,9999
W ,Jose Medina OF | CLE ,0,.000,0,0,0,9999
W ,Josh Sale OF | TEX ,0,.000,0,0,0,9999
W ,Kingston Liniak OF | DET ,0,.000,0,0,0,9999
Trex,Victor Scott II OF | STL,0,.000,0,0,0,9999
W ,Bill Knight OF | SEA ,0,.000,0,0,0,9999
W ,Lisbel DIaz OF | SF ,0,.000,0,0,0,9999
W ,Leobaldo Cabrera OF | MIN ,0,.000,0,0,0,9999
W ,Joantgel Segovia OF | MIL ,0,.000,0,0,0,9999
W ,DJ Peters OF | DET ,0,.000,0,0,0,9999
W ,Cody Regis OF | ARI ,0,.000,0,0,0,9999
W ,Ariel Almonte OF | CIN ,0,.000,0,0,0,9999
W ,Brayan Buelvas OF | ATH ,0,.000,0,0,0,9999
W ,Juan Negret OF | KC ,0,.000,0,0,0,9999
W ,Louie Lechich OF | CHW ,0,.000,0,0,0,9999
W ,Alec Keller OF | WAS ,0,.000,0,0,0,9999
W ,Charles Davalan OF | LAD ,0,.000,0,0,0,9999
W ,George Feliz OF | SEA ,0,.000,0,0,0,9999
W ,Jace Avina OF | NYY ,0,.000,0,0,0,9999
W ,Connor Myers OF | CHC ,0,.000,0,0,0,9999
W ,Bryce Teodosio OF | LAA,0,.000,0,0,0,9999
W ,Alejandro Garcia OF | HOU ,0,.000,0,0,0,9999
W ,Dillon Lewis OF | NYY ,0,.000,0,0,0,9999
W ,Fernando Kelli OF | CHC ,0,.000,0,0,0,9999
W ,D.J. Davis OF | TOR ,0,.000,0,0,0,9999
W ,Bobby Ison OF | CLE ,0,.000,0,0,0,9999
W ,Nick Van Stratten OF | KC ,0,.000,0,0,0,9999
W ,Gavin Cross OF | KC ,0,.000,0,0,0,9999
W ,Zach Reks OF | SD ,0,.000,0,0,0,9999
W ,Cord Sandberg OF | PHI ,0,.000,0,0,0,9999
W ,Aaron Knapp OF | SEA ,0,.000,0,0,0,9999
W ,Cory Vaughn OF | NYM ,0,.000,0,0,0,9999
W ,Grant Little OF | SD ,0,.000,0,0,0,9999
W ,Nick Peoples OF | WAS ,0,.000,0,0,0,9999
W ,Andy Garriola OF | CHC ,0,.000,0,0,0,9999
W ,Frankie Tostado OF | WAS ,0,.000,0,0,0,9999
W ,Braylon Payne OF | MIL ,0,.000,0,0,0,9999
W ,Brennon Lund OF | LAA ,0,.000,0,0,0,9999
W ,James Smith OF | PHI ,0,.000,0,0,0,9999
W ,Joan Delgado OF | CHC ,0,.000,0,0,0,9999
W ,Aldrem Corredor OF | WAS ,0,.000,0,0,0,9999
W ,Danny Gonzalez OF | MIA ,0,.000,0,0,0,9999
W ,Tayler Aguilar OF | COL ,0,.000,0,0,0,9999
W ,Jared James OF | ATL ,0,.000,0,0,0,9999
W ,Eddy Martinez OF | CHC ,0,.000,0,0,0,9999
W ,Ryan Vilade OF | TB ,0,.000,0,0,0,9999
W ,Isiah Gilliam OF | SEA ,0,.000,0,0,0,9999
W ,Mike Peabody OF | LAA ,0,.000,0,0,0,9999
W ,Natanael Santana OF | LAA ,0,.000,0,0,0,9999
W ,Zach Cole OF | HOU,0,.000,0,0,0,9999
W ,Danry Vasquez OF | HOU ,0,.000,0,0,0,9999
W ,Will Robertson OF | TOR,0,.000,0,0,0,9999
W ,Emmanuel Rodriguez OF | MIN,0,.000,0,0,0,9999
W ,Hill Alexander OF | TB ,0,.000,0,0,0,9999
W ,Roemon Fields OF | TOR ,0,.000,0,0,0,9999
W ,Daniel Cabrera OF | DET ,0,.000,0,0,0,9999
W ,Trent Deveaux OF | LAA ,0,.000,0,0,0,9999
W ,Jonah Davis OF | PIT ,0,.000,0,0,0,9999
W ,Jake Snider OF | SD ,0,.000,0,0,0,9999
W ,Nehomar Ochoa OF | HOU ,0,.000,0,0,0,9999
W ,Stanley Consuegra OF | NYM ,0,.000,0,0,0,9999
W ,Nick McLain OF | CHW ,0,.000,0,0,0,9999
W ,Patrick Biondi OF | NYM ,0,.000,0,0,0,9999
Dawg,Chandler Simpson OF | TB,0,.000,0,0,0,9999
W ,Douglas Glod OF | ATL ,0,.000,0,0,0,9999
W ,Kemp Alderman OF | MIA ,0,.000,0,0,0,9999
W ,Jiwan James OF | DET ,0,.000,0,0,0,9999
W ,Ethan Workinger OF | ATL ,0,.000,0,0,0,9999
W ,Miguel Perez OF | SEA ,0,.000,0,0,0,9999
W ,Trevor Boone OF | COL ,0,.000,0,0,0,9999
W ,Curtis Washington OF | SEA ,0,.000,0,0,0,9999
W ,Eli Serrano OF | NYM ,0,.000,0,0,0,9999
W ,J.B. Woodman OF | STL ,0,.000,0,0,0,9999
W ,Colin Bray OF | ARI ,0,.000,0,0,0,9999
W ,Jake Ring OF | BAL ,0,.000,0,0,0,9999
W ,Chris Rotondo OF | STL ,0,.000,0,0,0,9999
W ,Derek Miller OF | BOS ,0,.000,0,0,0,9999
W ,Angel Mendoza OF | CLE ,0,.000,0,0,0,9999
W ,Diego Hernandez OF | KC,0,.000,0,0,0,9999
W ,Silento Sayles OF | CLE ,0,.000,0,0,0,9999
W ,Grant Richardson OF | NYY ,0,.000,0,0,0,9999
W ,Zach Ehrhard OF | LAD ,0,.000,0,0,0,9999
W ,Chris Newell OF | LAD ,0,.000,0,0,0,9999
W ,Gavin Lux OF | CIN,0,.000,0,0,0,9999
W ,Jack Rogers OF | CIN ,0,.000,0,0,0,9999
W ,Joel Booker OF | CHW ,0,.000,0,0,0,9999
W ,Andrew Salas OF | MIA ,0,.000,0,0,0,9999
W ,Heath Holder OF | COL ,0,.000,0,0,0,9999
W ,Royce Bolinger OF | TEX ,0,.000,0,0,0,9999
W ,Jake Skole OF | NYY ,0,.000,0,0,0,9999
W ,Tre Carter OF | SD ,0,.000,0,0,0,9999
W ,Estanli Castillo OF | TB ,0,.000,0,0,0,9999
W ,Nate Nankil OF | ATH ,0,.000,0,0,0,9999
W ,Zac Veen OF | COL,0,.000,0,0,0,9999
W ,Connor Kokx OF | CLE ,0,.000,0,0,0,9999
W ,Jimmy Herron OF | MIL ,0,.000,0,0,0,9999
W ,Ryan Ward OF | LAD ,0,.000,0,0,0,9999
W ,Matt Hearn OF | COL ,0,.000,0,0,0,9999
W ,Jared Thomas OF | COL ,0,.000,0,0,0,9999
W ,Alexfri Planez OF | CLE ,0,.000,0,0,0,9999
W ,Caleb Ramsey OF | WAS ,0,.000,0,0,0,9999
W ,Aaron Palensky OF | NYY ,0,.000,0,0,0,9999
W ,Erick Caripa OF | CLE ,0,.000,0,0,0,9999
W ,Hosea Nelson OF | CLE ,0,.000,0,0,0,9999
W ,RJ Schreck OF | TOR ,0,.000,0,0,0,9999
W ,Yhoangel Aponte OF | TOR ,0,.000,0,0,0,9999
W ,Tyler Ramirez OF | ATH ,0,.000,0,0,0,9999
W ,Justin Greene OF | ARI ,0,.000,0,0,0,9999
W ,Champ Stuart OF | NYM ,0,.000,0,0,0,9999
W ,Oliver Tejada OF | SF ,0,.000,0,0,0,9999
W ,Edmond Americaan OF | CHC ,0,.000,0,0,0,9999
W ,Justin Jacobs OF | TEX ,0,.000,0,0,0,9999
W ,Tyler McDonough OF | BOS,0,.000,0,0,0,9999
W ,Brandon McIlwain OF | NYM ,0,.000,0,0,0,9999
W ,Anderson Miller OF | KC ,0,.000,0,0,0,9999
W ,Jose Paez OF | TB ,0,.000,0,0,0,9999
W ,Brett Callahan OF | DET ,0,.000,0,0,0,9999
W ,TJayy Walton OF | PHI ,0,.000,0,0,0,9999
W ,Donta' Williams OF | WAS ,0,.000,0,0,0,9999
W ,Zacrey Law OF | TB ,0,.000,0,0,0,9999
W ,Arnaldo Berrios OF | NYM ,0,.000,0,0,0,9999
W ,Daniel Montesino OF | SD ,0,.000,0,0,0,9999
W ,Chris Sharpe OF | PIT ,0,.000,0,0,0,9999
W ,Willy Vasquez OF | TB ,0,.000,0,0,0,9999
W ,Sergio Campana OF | PIT ,0,.000,0,0,0,9999
