All Outfielders 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Kole Enright OF | TEX ,0,.000,0,0,0,9999
W ,Bryson Myles OF | CLE ,0,.000,0,0,0,9999
W ,Wuilfredo Antunez OF | CLE,0,.000,0,0,0,9999
W ,Jeff Roy OF | PIT ,0,.000,0,0,0,9999
W ,Granden Goetzman OF | HOU ,0,.000,0,0,0,9999
W ,Mark Coley II OF | MIA ,0,.000,0,0,0,9999
W ,"Tim Tawa 1B,2B,OF | ARI",0,.000,0,0,0,9999
W ,Anthony Hall OF | NYY ,0,.000,0,0,0,9999
W ,Phillips Castillo OF | SEA ,0,.000,0,0,0,9999
W ,Tyler Tolbert OF | KC,0,.000,0,0,0,9999
W ,Ashford Fulmer OF | SF ,0,.000,0,0,0,9999
W ,Ian Petrutz OF | STL,0,.000,0,0,0,9999
W ,Andrew Pullin OF | PHI ,0,.000,0,0,0,9999
W ,Chase Davis OF | STL ,0,.000,0,0,0,9999
W ,Brock Deatherage OF | DET ,0,.000,0,0,0,9999
W ,J.P. Martinez OF | ATL ,0,.000,0,0,0,9999
W ,John Norwood OF | MIA ,0,.000,0,0,0,9999
W ,Carl Chester OF | TEX ,0,.000,0,0,0,9999
W ,Zach Levenson OF | STL ,0,.000,0,0,0,9999
W ,Miguel Ugueto OF | STL ,0,.000,0,0,0,9999
W ,Jose Gerardo OF | MIA ,0,.000,0,0,0,9999
W ,Yhoswar Garcia OF | MIL ,0,.000,0,0,0,9999
W ,Aldenis Sanchez OF | NYY ,0,.000,0,0,0,9999
W ,Wilfred Veras OF | CHW ,0,.000,0,0,0,9999
W ,J.D. Orr OF | MIA ,0,.000,0,0,0,9999
W ,Carlos Jorge OF | CIN ,0,.000,0,0,0,9999
W ,Lorenzo Cedrola OF | CLE ,0,.000,0,0,0,9999
W ,Larry Ernesto OF | MIL ,0,.000,0,0,0,9999
W ,Caeden Trenkle OF | ATH ,0,.000,0,0,0,9999
W ,Douglas Hodo III OF | BAL ,0,.000,0,0,0,9999
W ,Kyri Washington OF | BOS ,0,.000,0,0,0,9999
W ,Kellum Clark OF | NYM ,0,.000,0,0,0,9999
W ,Rainier Rivas OF | HOU ,0,.000,0,0,0,9999
W ,Jared Sundstrom OF | SEA ,0,.000,0,0,0,9999
W ,Izzy Wilson OF | BOS ,0,.000,0,0,0,9999
W ,Francesco Barbieri OF | WAS ,0,.000,0,0,0,9999
W ,Stephen Paolini OF | ATL ,0,.000,0,0,0,9999
W ,Misael Urbina OF | MIN ,0,.000,0,0,0,9999
W ,Evan Carter OF | TEX ,0,.000,0,0,0,9999
W ,Luis Baez OF | HOU ,0,.000,0,0,0,9999
W ,Jhonny Piron OF | TB ,0,.000,0,0,0,9999
W ,Dillon Head OF | MIA ,0,.000,0,0,0,9999
W ,Reggie Pruitt OF | TOR ,0,.000,0,0,0,9999
W ,Sandro Fabian OF | TEX,0,.000,0,0,0,9999
W ,Yanquiel Fernandez OF | COL,0,.000,0,0,0,9999
W ,Anfernee Seymour OF | MIA ,0,.000,0,0,0,9999
W ,Justice Bigbie OF | DET ,0,.000,0,0,0,9999
W ,Dane Myers OF | MIA ,0,.000,0,0,0,9999
W ,Travis Harrison OF | MIN ,0,.000,0,0,0,9999
W ,Zyhir Hope OF | LAD ,0,.000,0,0,0,9999
W ,Alfredo Escalera-Maldonado OF | NYM ,0,.000,0,0,0,9999
W ,Luis Rodriguez OF | LAD,0,.000,0,0,0,9999
W ,Blake Dunn OF | CIN,0,.000,0,0,0,9999
W ,Chad Hinshaw OF | LAA ,0,.000,0,0,0,9999
W ,Ethan Wilson OF | PHI ,0,.000,0,0,0,9999
W ,Clint Coulter OF | SF ,0,.000,0,0,0,9999
W ,Preston Tucker OF | SD,0,.000,0,0,0,9999
W ,John Cruz OF | MIA ,0,.000,0,0,0,9999
W ,Marshall Toole OF | NYY ,0,.000,0,0,0,9999
W ,Jagger Rusconi OF | BOS ,0,.000,0,0,0,9999
